T_AND            &&
T_ASSIGN         =
T_BOOLTYPE       bool
T_BREAK          break
T_CHARCONSTANT   char_lit
T_CONTINUE       continue
T_DOT            .
T_ELSE           else
T_EQ             ==
T_EXTERN         extern
T_FALSE          false
T_FOR            for
T_FUNC           func
T_GEQ            >=
T_GT             >
T_ID             identifier
T_IF             if
T_INTCONSTANT    int_lit
T_INTTYPE        int
T_LEFTSHIFT      <<
T_LEQ            <=
T_NEQ            !=
T_NULL           null
T_OR             ||
T_PACKAGE        package
T_RETURN         return
T_RIGHTSHIFT     >>
T_STRINGCONSTANT string_lit
T_STRINGTYPE     string
T_TRUE           true
T_VAR            var
T_VOID           void
T_WHILE          while
